iteration,train_error,test_error
0, 0.345193065776, 0.346396793552
1, 0.312225244308, 0.313358836246
2, 0.282450503935, 0.283517312732
3, 0.255556583672, 0.256559794989
4, 0.23126304071, 0.232205684451
5, 0.209317672863, 0.210202636976
6, 0.189493417121, 0.190323446007
7, 0.171585649949, 0.172363365007
8, 0.155409818059, 0.156137719855
9, 0.140799339986, 0.141479809549
10, 0.127603787764, 0.12823910249
11, 0.115687246035, 0.11627957453
12, 0.104926858929, 0.105478274013
13, 0.0952115524541, 0.0957240310141
14, 0.0864408821049, 0.0869163059591
15, 0.0785239923585, 0.0789641616692
16, 0.0713786976811, 0.0717853320756
17, 0.0649306557096, 0.0653053923339
18, 0.0591126076591, 0.0594570064822
19, 0.0538637141777, 0.0541792641481
20, 0.0491289373625, 0.0494170596893
21, 0.044858495293, 0.0451205379006
22, 0.0410073647828, 0.0412446225807
23, 0.037534836241, 0.037748532068
24, 0.0344040927089, 0.0345954022805
25, 0.0315818548216, 0.0317518892919
26, 0.0290380355801, 0.0291878568438
27, 0.0267454537492, 0.0268760704292
28, 0.0246795351383, 0.0247919108538
29, 0.0228180886787, 0.0229131357076
30, 0.0211410597352, 0.0212196512478
31, 0.0196303449842, 0.0196933085219
32, 0.0182695916225, 0.0183177151631
33, 0.0170440385938, 0.0170780708662
34, 0.0159403585808, 0.0159610125386
35, 0.0149465279038, 0.0149544805452
36, 0.0140516918809, 0.0140475869453
37, 0.0132460603872, 0.0132305107272
38, 0.0125208026685, 0.0124943892486
39, 0.0118679507564, 0.0118312274985
40, 0.0112803224087, 0.0112338125713
41, 0.0107514393899, 0.0106956434543
42, 0.0102754624982, 0.0102108536602
43, 0.00984713085839, 0.00977415895473
44, 0.0094616960429, 0.00938078955777
45, 0.00911488516672, 0.009026449382
46, 0.00880284585846, 0.00870726675233
47, 0.00852210911043, 0.00841975323727
48, 0.00826954774462, 0.00816076190488
49, 0.0080423435441, 0.00792745796298
50, 0.00783796244619, 0.0077172908231
51, 0.00765411816745, 0.00752795721503
52, 0.00748875676932, 0.00735738830774
53, 0.0073400243991, 0.00720371647874
54, 0.00720625446697, 0.00706526174239
55, 0.00708594707326, 0.00694050997021
56, 0.00697774935466, 0.00682809949082
57, 0.00688044720967, 0.00672679894889
58, 0.00679294589055, 0.00663550517457
59, 0.00671425955663, 0.00655322374116
60, 0.00664350204105, 0.00647905520576
61, 0.00657987662429, 0.00641219638531
62, 0.0065226662436, 0.00635191732653
63, 0.0064712235564, 0.00629756579786
64, 0.00642496917954, 0.00624855156068
65, 0.00638337914298, 0.00620434605261
66, 0.00634598536804, 0.00616447222742
67, 0.00631236394403, 0.00612849717961
68, 0.00628213419818, 0.00609603678758
69, 0.00625495514201, 0.00606674148389
70, 0.0062305184208, 0.00604029763821
71, 0.00620854721155, 0.00601642334089
72, 0.00618879313414, 0.00599486609659
73, 0.00617103230124, 0.00597539419853
74, 0.00615506304247, 0.00595780267676
75, 0.00614070548106, 0.00594190692866
76, 0.00612779657704, 0.00592753852658
77, 0.00611618909089, 0.00591454725407
78, 0.00610575185728, 0.00590279920329
79, 0.00609636779367, 0.00589217160226
80, 0.00608792920953, 0.00588255294265
81, 0.0060803407102, 0.00587384635824
82, 0.00607351682196, 0.00586596235675
83, 0.00606738042857, 0.00585881942884
84, 0.00606186134328, 0.00585234629084
85, 0.00605689724882, 0.00584647811459
86, 0.0060524324767, 0.00584115535559
87, 0.00604841607587, 0.00583632684801
88, 0.00604480240774, 0.00583194199135
89, 0.00604155208356, 0.00582795959592
90, 0.00603862637201, 0.0058243411761
91, 0.00603599439692, 0.00582105156703
92, 0.00603362447279, 0.00581805928759
93, 0.00603149180183, 0.00581533547324
94, 0.00602957124061, 0.00581285413248
95, 0.00602784255826, 0.00581059310904
96, 0.00602628480552, 0.00580853201964
97, 0.00602488184878, 0.00580664965502
98, 0.00602361735389, 0.0058049310346
99, 0.00602247748994, 0.00580336288459
100, 0.00602144925944, 0.00580192591769
101, 0.00602052275991, 0.00580061218434
102, 0.00601968540622, 0.00579940915936
103, 0.00601893014372, 0.00579830404906
104, 0.00601824788094, 0.00579729299314
105, 0.00601763158441, 0.00579636326398
106, 0.00601707406891, 0.00579550805126
107, 0.00601656904578, 0.00579472319737
108, 0.00601611296568, 0.00579399879593
109, 0.00601569859035, 0.00579333111879
110, 0.00601532348867, 0.00579271493173
111, 0.00601498244471, 0.00579214621732
112, 0.00601467247015, 0.0057916202001
113, 0.00601439077159, 0.005791134036
114, 0.00601413424121, 0.00579068199318
115, 0.00601390042474, 0.00579026364672
116, 0.00601368671662, 0.00578987421007
117, 0.00601349099814, 0.00578951180715
118, 0.00601331178987, 0.00578917565557
119, 0.00601314714501, 0.00578886082049
120, 0.00601299623843, 0.00578856763925
121, 0.00601285657263, 0.00578829348127
122, 0.00601272828322, 0.00578803729083
123, 0.00601260912576, 0.00578779637416
124, 0.00601249884648, 0.0057875704173
125, 0.00601239617106, 0.00578735789069
126, 0.00601230027929, 0.00578715819379
127, 0.00601221105477, 0.00578696974972
128, 0.00601212745834, 0.00578679281879
129, 0.00601204869989, 0.00578662430606
130, 0.00601197445374, 0.005786466757
131, 0.0060119040912, 0.00578631551076
132, 0.00601183776211, 0.00578617233929
