iteration,train_error,test_error
0, 0.572069207558, 0.568855409321
1, 0.489404940699, 0.486415587634
2, 0.418680691422, 0.41589909565
3, 0.358160654166, 0.355571467545
4, 0.306370563838, 0.303959606721
5, 0.262054587957, 0.25980872855
6, 0.224140547957, 0.222047596348
7, 0.191711404462, 0.189760031414
8, 0.16398180387, 0.162161481496
9, 0.140278571853, 0.138579514733
10, 0.120024336429, 0.118437447239
11, 0.102723752202, 0.101240579462
12, 0.0879517695873, 0.0865644655882
13, 0.0753437128249, 0.0740449838623
14, 0.0645867462908, 0.0633698396452
15, 0.0554125718712, 0.0542712198546
16, 0.0475912016423, 0.0465196000218
17, 0.0409255471197, 0.039918320043
18, 0.0352468032589, 0.0342989723018
19, 0.0304104509439, 0.0295174133046
20, 0.0262928312297, 0.0254503326735
21, 0.0227881915329, 0.0219922970661
22, 0.0198061247995, 0.0190531994694
23, 0.0172693978307, 0.0165560842413
24, 0.0151120531605, 0.0144352549419
25, 0.0132777881029, 0.0126346425966
26, 0.0117185707682, 0.0111064384586
27, 0.0103934358547, 0.009809882437
28, 0.00926746423911, 0.00871024164866
29, 0.00831089426287, 0.00777793172744
30, 0.00749838213984, 0.00698777035396
31, 0.00680834215755, 0.00631831748981
32, 0.00622240063643, 0.00575134115339
33, 0.00572492244287, 0.00527133152493
34, 0.0053026060334, 0.00486510569653
35, 0.00494413703294, 0.00452145633296
36, 0.00463989547669, 0.00423086296709
37, 0.00438170624077, 0.00398524327048
38, 0.00416261772596, 0.00377773129644
39, 0.00397672383457, 0.00360249926386
40, 0.00381901044766, 0.00345460356275
41, 0.00368521261001, 0.00332984617228
42, 0.00357171214667, 0.00322467095711
43, 0.00347543571086, 0.00313606173288
44, 0.00339377332828, 0.00306145912942
45, 0.003324511012, 0.0029986986073
46, 0.00326576748915, 0.00294594041421
47, 0.00321594797823, 0.00290163325853
48, 0.00317369745979, 0.00286445736611
49, 0.00313786664343, 0.00283330125177
50, 0.0031074813865, 0.00280721905744
51, 0.00308171459717, 0.00278541460469
52, 0.00305986326275, 0.00276721224928
53, 0.00304133346104, 0.00275204254997
54, 0.00302561948898, 0.0027394219172
55, 0.00301229360197, 0.00272894571452
56, 0.00300099222078, 0.00272026764952
57, 0.00299140777592, 0.0027130984193
58, 0.00298327910877, 0.00270719414823
59, 0.00297638427561, 0.00270234737187
60, 0.00297053530037, 0.00269838503578
61, 0.00296557406829, 0.00269516083619
62, 0.00296136431021, 0.00269254968419
63, 0.00295779225044, 0.00269045144597
64, 0.00295476016099, 0.00268877591912
65, 0.00295218672962, 0.00268745081958
66, 0.00295000112479, 0.00268641650607
67, 0.00294814480367, 0.00268561965192
68, 0.0029465678812, 0.00268501881446
69, 0.00294522680976, 0.00268457674075
70, 0.00294408685485, 0.00268426472063
71, 0.0029431169182, 0.00268405699563
72, 0.00294229113285, 0.00268393368127
73, 0.00294158693336, 0.00268387555706
74, 0.00294098598627, 0.00268387167531
75, 0.00294047341326, 0.00268390855551
76, 0.00294003514835, 0.00268397583901
77, 0.00293965962141, 0.00268406641831
78, 0.00293933742473, 0.00268417448374
79, 0.00293906041537, 0.00268429359333
80, 0.00293882218944, 0.00268441994107
81, 0.00293861636713, 0.00268455065614
82, 0.0029384380681, 0.0026846818918
83, 0.00293828298438, 0.002684812557
84, 0.0029381482155, 0.00268494194607
85, 0.00293802931955, 0.00268506634344
86, 0.00293792539739, 0.00268518608781
87, 0.00293783343246, 0.0026853010157
88, 0.0029377515411, 0.00268540891386
89, 0.00293767810426, 0.00268551250346
90, 0.00293761260208, 0.0026856087861
91, 0.00293755273373, 0.00268569961379
92, 0.00293749847322, 0.00268578251012
93, 0.00293744837916, 0.00268586099997
94, 0.00293740225899, 0.00268593276745
95, 0.00293735909147, 0.00268599910832
96, 0.00293731931256, 0.00268605980318
97, 0.00293728169124, 0.00268611515971
98, 0.00293724560783, 0.00268616571174
99, 0.00293721104218, 0.00268621141223
100, 0.0029371778938, 0.00268625206959
101, 0.00293714685548, 0.00268628876995
102, 0.00293711572326, 0.00268632183092
103, 0.00293708636045, 0.00268634987458
104, 0.00293705716755, 0.00268637613959
105, 0.00293702845877, 0.00268639797029
106, 0.00293700044506, 0.00268641626831
107, 0.00293697298419, 0.00268643287175
108, 0.00293694602145, 0.00268644708941
109, 0.00293691884151, 0.00268645724209
110, 0.00293689260095, 0.00268646541681
111, 0.00293686629902, 0.00268647249277
112, 0.00293684041452, 0.0026864767328
113, 0.00293681449985, 0.00268647884674
114, 0.00293678832758, 0.00268647960829
115, 0.00293676268416, 0.00268647963108
116, 0.00293673679119, 0.00268647706353
117, 0.00293671141996, 0.0026864734819
118, 0.00293668572918, 0.00268646925401
119, 0.00293666051238, 0.00268646240259
120, 0.00293663488409, 0.00268645545445
121, 0.00293660993336, 0.00268644791846
122, 0.00293658452357, 0.00268643876841
123, 0.00293655930553, 0.00268642771858
124, 0.00293653432677, 0.00268641846528
125, 0.00293650876704, 0.00268640688849
126, 0.00293648406218, 0.00268639485145
127, 0.00293645871451, 0.00268638236624
128, 0.00293643342249, 0.00268636786138
129, 0.00293640849018, 0.00268635529739
130, 0.0029363833925, 0.00268634028483
131, 0.0029363583119, 0.00268632553669
132, 0.00293633346035, 0.00268631024646
133, 0.00293630774719, 0.00268629533928
134, 0.00293628310034, 0.00268627929536
135, 0.00293625801605, 0.00268626293521
136, 0.00293623312189, 0.00268624597196
137, 0.00293620742513, 0.00268622969971
