iteration,train_error,test_error
0, 0.511533557894, 0.511297039236
1, 0.367850801315, 0.367612813017
2, 0.264356260226, 0.264115447754
3, 0.189858512248, 0.189614008695
4, 0.136310764706, 0.136062018663
5, 0.0978930384456, 0.0976397364127
6, 0.0703862045597, 0.0701282368195
7, 0.0507316826402, 0.0504690961872
8, 0.0367153603556, 0.0364483391763
9, 0.0267379990347, 0.0264668162642
10, 0.0196474491519, 0.019372432997
11, 0.0146158786049, 0.014337388736
12, 0.0110500390556, 0.0107684428095
13, 0.00852582528505, 0.00824147781485
14, 0.00674072453996, 0.00645396547186
15, 0.00547939073178, 0.00519053311627
16, 0.00458879089944, 0.00429811841738
17, 0.00396034825556, 0.00366811270765
18, 0.00351712611274, 0.00322355263658
19, 0.00320467339884, 0.00290995743688
20, 0.00298448749859, 0.0026887991645
21, 0.00282937027861, 0.00253285832619
22, 0.00272012049687, 0.00242290956506
23, 0.00264318883986, 0.0023453882318
24, 0.00258902393618, 0.00229072443349
25, 0.00255089070737, 0.00225217124318
26, 0.00252404499073, 0.00222497313094
27, 0.00250514570918, 0.00220577613184
28, 0.00249183807541, 0.00219221947772
29, 0.00248246635879, 0.0021826377972
30, 0.00247586331751, 0.00217585919673
31, 0.00247120842733, 0.00217105772923
32, 0.00246792450471, 0.00216765116292
33, 0.00246560491065, 0.00216522846848
34, 0.0024639635159, 0.00216350103119
35, 0.00246279907247, 0.00216226547525
36, 0.00246197062812, 0.00216137672323
37, 0.00246137758243, 0.00216073429587
38, 0.00246095112063, 0.00216026650351
39, 0.00246064117121, 0.00215992246457
40, 0.00246041297863, 0.0021596653159
41, 0.00246024262646, 0.00215947251169
42, 0.00246011370552, 0.00215932371029
43, 0.00246001254104, 0.00215920774152
44, 0.00245993198195, 0.00215911406672
45, 0.00245986529392, 0.00215903641117
46, 0.00245980830986, 0.00215897115297
47, 0.00245975857163, 0.00215891561172
48, 0.00245971378307, 0.00215886519713
49, 0.00245967233572, 0.00215881957157
50, 0.00245963327653, 0.00215877779478
51, 0.00245959603109, 0.00215873826818
52, 0.00245956008305, 0.00215870211582
53, 0.00245952485284, 0.00215866567089
54, 0.0024594899836, 0.00215863096238
55, 0.00245945618994, 0.00215859743998
56, 0.00245942231934, 0.00215856428449
57, 0.00245938866537, 0.00215853092088
58, 0.00245935507257, 0.0021584984453
59, 0.00245932136765, 0.00215846708299
60, 0.0024592876997, 0.00215843492544
61, 0.00245925477673, 0.0021584030462
62, 0.00245922138983, 0.00215837178083
63, 0.0024591881955, 0.00215834008469
64, 0.00245915475723, 0.00215830827325
65, 0.00245912156107, 0.00215827758399
66, 0.00245908833559, 0.00215824676556
67, 0.00245905490828, 0.00215821575552
68, 0.0024590223153, 0.00215818465523
69, 0.00245898875351, 0.00215815407958
