iteration,train_error,test_error
0, 1666.20585934, 1666.42956787
1, 484.226743595, 484.560041376
2, 0.329496174251, 0.327897994518
3, 13.4915967071, 13.4727881096
4, 23.9203181263, 23.8851243876
5, 22.1471678015, 22.1138233974
6, 21.2775596688, 21.2487782599
7, 17.6567958396, 17.635166592
8, 13.5327262226, 13.5110276921
9, 10.9903539644, 10.9690663535
10, 8.83073412898, 8.80998072042
11, 7.31502696139, 7.29486738394
12, 5.17156925446, 5.15176777834
13, 2.64214029229, 2.62558273074
14, 0.93544379782, 0.926767592496
15, 0.225259333605, 0.2213695611
16, 0.00862465674333, 0.00760787130335
17, 0.0795952027717, 0.0811309303167
18, 0.314701286213, 0.318237864505
19, 0.604830890731, 0.60982713456
20, 0.894839592969, 0.900957033395
21, 1.12494498649, 1.13183945883
22, 1.25240508952, 1.25969615283
23, 1.26526335779, 1.27257606472
24, 1.18234806991, 1.18936380247
25, 1.03696652709, 1.04345730447
26, 0.856758809498, 0.862570774376
27, 0.661410732852, 0.666428161923
28, 0.468805411904, 0.47293482609
29, 0.296211375109, 0.299383910595
30, 0.157847236591, 0.160024510553
31, 0.0625025052785, 0.0636801786096
32, 0.0124623099407, 0.0126707701205
33, 0.00376229329237, 0.00306473370613
34, 0.0274690347338, 0.0259577080873
35, 0.071601261723, 0.0693924848646
36, 0.123290902293, 0.120519224153
37, 0.170811117449, 0.167622861376
38, 0.205169768166, 0.20171646521
39, 0.221070451289, 0.217502464923
40, 0.217170926027, 0.213631273154
41, 0.195684680457, 0.192303578613
42, 0.161476300852, 0.158366752712
43, 0.120859435891, 0.118113583704
44, 0.0803327030508, 0.0780193162589
45, 0.0454646745387, 0.0436278892427
46, 0.0200941286264, 0.0187531826606
47, 0.00593432829289, 0.00508456659041
48, 0.00259504471651, 0.00220984310659
49, 0.00796170226493, 0.00799524778575
50, 0.0188194280695, 0.0192101949692
51, 0.0315796835422, 0.0322544855556
52, 0.0429677449515, 0.0438459988423
53, 0.0505543603853, 0.0515524393524
54, 0.0530574372796, 0.0540929070625
55, 0.0503910997743, 0.0513866170487
56, 0.0434890089233, 0.0443756952977
57, 0.033965561323, 0.0346857177049
58, 0.0237020528301, 0.0242112022799
59, 0.0144449140176, 0.0147130055307
60, 0.00749077486915, 0.00750255192556
61, 0.00350580349431, 0.00326051235676
62, 0.0024941160099, 0.00200438364168
63, 0.00390028286548, 0.00319041962946
64, 0.00680606459001, 0.00590991195172
65, 0.0101688740083, 0.00912724095235
66, 0.0130485026685, 0.0119064863123
67, 0.0147784215802, 0.0135826591521
68, 0.0150551011627, 0.0138510961535
69, 0.0139397318336, 0.0127695085207
70, 0.011784819203, 0.0106849204966
71, 0.00911211743175, 0.00811197247267
72, 0.0064746384272, 0.00559553714689
73, 0.0043338441275, 0.00358839089471
74, 0.0029758325607, 0.00236794375679
75, 0.0024781299669, 0.00200350211847
76, 0.00272662760773, 0.00237365860901
77, 0.00347121402631, 0.00322228331724
78, 0.00440218537903, 0.00423512241894
79, 0.00522748401904, 0.00511728081499
80, 0.00573381330652, 0.00565429739932
81, 0.00582038808438, 0.00574588094646
82, 0.00550239677751, 0.00540917684923
83, 0.00488771183563, 0.00475530133112
84, 0.00413664753839, 0.0039487710682
85, 0.00341619289831, 0.00316139116734
86, 0.00286037580843, 0.00253234127682
87, 0.00254449501805, 0.00214199705474
88, 0.00247731449906, 0.00200387306573
89, 0.00260997180884, 0.00207322082694
90, 0.00285696593306, 0.00226785620624
91, 0.00312234059655, 0.00249414229049
92, 0.00332410505112, 0.00267139603196
93, 0.00341127606594, 0.0027488853687
94, 0.00337072579643, 0.00271277838514
95, 0.00322379496691, 0.00258285671986
96, 0.0030151540736, 0.0024015530473
97, 0.00279777935458, 0.00221911276219
98, 0.00261844814057, 0.00207933643039
99, 0.00250717193903, 0.00200919331266
100, 0.00247250909077, 0.00201436503251
101, 0.00250303819875, 0.0020808846925
102, 0.00257357505813, 0.00218149543878
103, 0.00265380542975, 0.00228438360119
104, 0.00271679167585, 0.00236174591255
105, 0.00274520745025, 0.00239603936533
106, 0.00273407149622, 0.00238264096449
107, 0.00268983862743, 0.00232890563916
108, 0.00262676897076, 0.00225040897062
109, 0.0025618033846, 0.00216571045995
110, 0.00250969246395, 0.00209133837072
111, 0.00247944825814, 0.0020380993433
112, 0.0024729611009, 0.00200957196737
113, 0.00248569233369, 0.00200269858452
114, 0.00250898497956, 0.00200999884761
115, 0.00253306272861, 0.00202250416051
116, 0.00254982766127, 0.00203255013553
