iteration,train_error,test_error
0, 1245.75138542, 1246.39867273
1, 315.526330966, 316.08070923
2, 55.2091110245, 55.2277773997
3, 90.8687552727, 87.6221455008
4, 66.1655600764, 69.4070803227
5, 122.436412233, 122.592638387
6, 9.83462716163, 9.82013386086
7, 4.24344641801, 4.11757651344
8, 4.78573096679, 4.43376998435
9, 1.21033725383, 1.2571542999
10, 1.18955874951, 1.23598159639
11, 2.83620846305, 2.88255477709
12, 3.20214348203, 3.14685592134
13, 2.80720625743, 2.74861542963
14, 0.0511096356711, 0.050096270357
15, 35.8965453319, 35.4530264077
16, 4.86368483003, 4.84569502914
17, 5.74345474016, 5.80744092169
18, 2.1891864681, 2.22376134021
19, 0.541851412286, 0.542705626716
20, 0.120273958033, 0.119773712278
21, 0.0285528833155, 0.0312852362525
22, 0.0427960466801, 0.0478038835939
23, 0.0699992651862, 0.0759226129334
24, 0.0804921760317, 0.0864229987152
25, 0.069511054227, 0.0748959484151
26, 0.0459663401677, 0.0506677168288
27, 0.0289689363468, 0.0331655722568
28, 0.0320880110125, 0.035917996633
29, 0.044501437292, 0.0480056541452
30, 0.0444702300394, 0.0478188987675
31, 0.0319650576806, 0.0356197034758
32, 0.0277614975858, 0.032446252947
33, 0.0365974548708, 0.0426673541616
34, 0.0410715575413, 0.0478432542625
35, 0.0336427460099, 0.0397747720855
36, 0.0274505912154, 0.0319932806498
37, 0.0309146923882, 0.0338685899023
38, 0.0362023844429, 0.0382861721459
39, 0.0346638013347, 0.0368697608236
40, 0.0294122236903, 0.0326666249093
41, 0.0282936228156, 0.0330918029138
42, 0.0317122189565, 0.0378106516812
43, 0.0335026973877, 0.0400040489766
44, 0.0310817117869, 0.0369464064196
45, 0.0283421524705, 0.0329461779637
46, 0.0286706501386, 0.0320143431402
47, 0.0305994979291, 0.0331407429554
48, 0.0310348014162, 0.0334066633479
49, 0.0294936953659, 0.0322790600189
50, 0.0280237117744, 0.0315951462469
51, 0.0281614979549, 0.0325741697301
52, 0.0291717124489, 0.0341479273282
53, 0.0293983233444, 0.0344518714319
54, 0.028519797751, 0.033183030815
55, 0.0276434840131, 0.0316605716994
56, 0.0276061846536, 0.0309855128158
57, 0.0280863113807, 0.0310312116358
58, 0.0282881594344, 0.0310882984284
59, 0.0279204693751, 0.0308558113629
60, 0.0273747683334, 0.0306443143299
61, 0.0271599259489, 0.0308373374185
62, 0.0273423035995, 0.0313654458024
63, 0.0275626564433, 0.0317640438751
64, 0.0275018715029, 0.0316736146109
65, 0.0272093451308, 0.0311771182499
66, 0.0269683624781, 0.0306419248218
67, 0.0269506689031, 0.0303364186175
68, 0.0270707237347, 0.0302525978884
69, 0.0271312297329, 0.0302351321676
70, 0.0270415934539, 0.0301964920418
71, 0.0268829722506, 0.0301872138507
72, 0.026793080104, 0.0302919753462
73, 0.0268193111864, 0.0304980262153
74, 0.0268884824566, 0.0306819189451
75, 0.0269010946601, 0.0307172708241
76, 0.0268340562364, 0.0305833704379
77, 0.0267486240228, 0.0303694060689
78, 0.0267137991325, 0.0301863186381
79, 0.0267372194655, 0.0300841893737
80, 0.026769659046, 0.0300449234533
81, 0.026764016136, 0.0300346104686
82, 0.0267210288651, 0.0300475550502
83, 0.0266794420688, 0.0301003983213
84, 0.0266706508232, 0.030193787428
85, 0.0266886920952, 0.0302916830131
86, 0.026702682133, 0.0303421114855
87, 0.0266919409001, 0.0303177202773
88, 0.0266648905377, 0.030235254069
89, 0.026645235193, 0.0301379848529
90, 0.026645405214, 0.0300622948135
91, 0.0266560598846, 0.0300198514809
92, 0.0266593790274, 0.0300054227526
93, 0.0266487008287, 0.0300134441954
94, 0.0266332462819, 0.0300439286653
95, 0.0266257907091, 0.0300933742844
96, 0.0266289423462, 0.0301462856861
97, 0.0266341319041, 0.0301797817297
98, 0.0266324305608, 0.0301782136767
99, 0.0266238923397, 0.0301438926755
100, 0.0266158442422, 0.030093943626
101, 0.026613956655, 0.0300477651216
102, 0.0266165982209, 0.0300168440017
103, 0.0266177866868, 0.0300038683759
104, 0.0266143358153, 0.030007795552
105, 0.0266086737727, 0.0300264200517
106, 0.026605306463, 0.0300549427808
107, 0.0266055734541, 0.0300839309499
108, 0.0266067812184, 0.0301018429876
109, 0.0266057774937, 0.0301011668969
110, 0.0266024605875, 0.0300829004348
111, 0.0265993267242, 0.0300553418424
112, 0.0265982952731, 0.0300285934572
113, 0.0265987041233, 0.0300098829915
114, 0.0265985075248, 0.0300022047635
115, 0.0265967413942, 0.0300055767447
116, 0.026594415724, 0.0300178585296
117, 0.0265930398214, 0.0300347359815
118, 0.0265928395256, 0.0300499346597
119, 0.0265927147861, 0.0300574118583
120, 0.0265917534546, 0.0300541553053
121, 0.0265901461827, 0.0300418004412
122, 0.0265888408777, 0.0300252226153
123, 0.0265882927084, 0.030010019659
124, 0.0265880456161, 0.0300001633951
125, 0.0265874281073, 0.0299973539694
126, 0.0265863130879, 0.0300012052608
127, 0.0265852333288, 0.0300096235221
128, 0.0265845905505, 0.0300191502082
129, 0.0265842353636, 0.0300258666557
130, 0.0265837351704, 0.0300270184965
131, 0.026582930373, 0.0300219970604
132, 0.026582065314, 0.0300128406233
133, 0.0265814143696, 0.0300026940626
134, 0.026580997277, 0.0299945848246
135, 0.0265805476239, 0.0299904643606
136, 0.0265799236868, 0.0299907395584
137, 0.0265792146997, 0.0299945021881
138, 0.0265786256542, 0.0299997940959
139, 0.0265781852355, 0.0300041764965
140, 0.0265777602056, 0.0300056730277
141, 0.0265772233177, 0.0300034400733
142, 0.0265766438728, 0.0299982568427
143, 0.0265761133075, 0.0299917735525
144, 0.0265756855601, 0.0299860439996
145, 0.0265752738064, 0.0299824528112
146, 0.0265748111795, 0.0299816266078
147, 0.0265743071675, 0.0299831737514
148, 0.0265738444346, 0.029985894528
149, 0.0265734455261, 0.0299883239804
150, 0.0265730513238, 0.0299891593977
151, 0.0265726205746, 0.029987783466
152, 0.0265721819147, 0.0299844794841
153, 0.0265717589558, 0.0299802826031
154, 0.0265713788769, 0.0299763496584
155, 0.0265710182351, 0.0299737022985
156, 0.0265706242111, 0.0299727705477
157, 0.0265702400591, 0.0299732988124
158, 0.0265698602073, 0.0299746057288
159, 0.0265695054766, 0.02997572506
160, 0.0265691524504, 0.0299758804042
161, 0.0265688028045, 0.0299746434456
162, 0.0265684452541, 0.0299722732064
163, 0.026568106106, 0.029969371396
164, 0.0265677642842, 0.0299667058773
165, 0.0265674414101, 0.0299648546682
166, 0.0265671210107, 0.0299641003581
167, 0.0265667913537, 0.0299642127609
168, 0.0265664654223, 0.0299647194891
169, 0.0265661592288, 0.0299649877132
170, 0.0265658560582, 0.0299646258813
171, 0.0265655472103, 0.0299634321877
172, 0.0265652540597, 0.0299615507747
173, 0.0265649598637, 0.0299594972343
174, 0.0265646756847, 0.0299576660643
175, 0.0265643787026, 0.0299564190457
176, 0.0265641085607, 0.0299558192325
